Product;week;month;year;unit
ITEM001;39;10;2021;30.4
ITEM001;40;10;2021;23.1
ITEM001;41;11;2021;24.2
ITEM001;42;11;2021;0.0
ITEM001;43;11;2021;19.8
ITEM001;44;11;2021;22.0
ITEM001;45;12;2021;0.0
ITEM001;46;12;2021;0.0
ITEM001;47;12;2021;0.0
ITEM001;48;12;2021;44.6
ITEM001;49;12;2021;40.3
ITEM001;50;12;2021;40.9
ITEM001;51;12;2021;42.1
ITEM001;52;12;2021;22.1
ITEM001;1;1;2022;19.7
ITEM001;2;1;2022;22.1
ITEM001;3;1;2022;22.7
ITEM001;4;1;2022;24.7
ITEM001;5;2;2022;31.1
ITEM001;6;2;2022;0.0
ITEM001;7;2;2022;23.8
ITEM001;8;2;2022;29.6
ITEM001;9;3;2022;0.0
ITEM001;10;3;2022;28.4
ITEM001;11;3;2022;26.4
ITEM001;12;3;2022;34.0
ITEM001;13;4;2022;44.8
ITEM001;14;4;2022;33.6
ITEM001;15;4;2022;46.8
ITEM001;16;4;2022;49.3
ITEM001;17;5;2022;47.9
ITEM001;18;5;2022;50.7
ITEM001;19;5;2022;40.3
ITEM001;20;5;2022;0.0
ITEM001;21;6;2022;54.3
ITEM001;22;6;2022;47.0
ITEM001;23;6;2022;52.8
ITEM001;24;6;2022;54.8
ITEM001;25;7;2022;47.1
ITEM001;26;7;2022;50.6
ITEM001;27;7;2022;55.2
ITEM001;28;7;2022;58.3
ITEM001;29;8;2022;50.3
ITEM001;30;8;2022;47.0
ITEM001;31;8;2022;0.0
ITEM001;32;8;2022;40.5
ITEM001;33;9;2022;42.4
ITEM001;34;9;2022;36.7
ITEM001;35;9;2022;53.0
ITEM001;36;9;2022;0.0
ITEM001;37;10;2022;40.8
ITEM001;38;10;2022;46.2
ITEM001;39;10;2022;41.2
ITEM001;40;10;2022;35.7
ITEM001;41;11;2022;27.1
ITEM001;42;11;2022;27.2
ITEM001;43;11;2022;32.5
ITEM001;44;11;2022;0.0
ITEM001;45;12;2022;29.4
ITEM001;46;12;2022;23.9
ITEM001;47;12;2022;42.9
ITEM001;48;12;2022;44.5
ITEM001;49;12;2022;41.5
ITEM002;32;8;2021;98.3
ITEM002;33;9;2021;87.6
ITEM002;34;9;2021;84.2
ITEM002;35;9;2021;74.9
ITEM002;36;9;2021;81.2
ITEM002;37;10;2021;73.5
ITEM002;38;10;2021;73.3
ITEM002;39;10;2021;78.7
ITEM002;40;10;2021;72.6
ITEM002;41;11;2021;78.4
ITEM002;42;11;2021;68.2
ITEM002;43;11;2021;61.8
ITEM002;44;11;2021;48.9
ITEM002;45;12;2021;61.8
ITEM002;46;12;2021;47.6
ITEM002;47;12;2021;110.3
ITEM002;48;12;2021;94.9
ITEM002;49;12;2021;99.9
ITEM002;50;12;2021;86.9
ITEM002;51;12;2021;98.7
ITEM002;52;12;2021;31.7
ITEM002;1;1;2022;46.4
ITEM002;2;1;2022;60.5
ITEM002;3;1;2022;52.5
ITEM002;4;1;2022;56.0
ITEM002;5;2;2022;63.6
ITEM002;6;2;2022;70.4
ITEM002;7;2;2022;77.5
ITEM002;8;2;2022;64.9
ITEM002;9;3;2022;84.4
ITEM002;10;3;2022;79.0
ITEM002;11;3;2022;89.8
ITEM002;12;3;2022;97.1
ITEM002;13;4;2022;84.0
ITEM002;14;4;2022;86.5
ITEM002;15;4;2022;98.5
ITEM002;16;4;2022;98.4
ITEM002;17;5;2022;111.1
ITEM002;18;5;2022;114.2
ITEM002;19;5;2022;126.7
ITEM002;20;5;2022;111.3
ITEM002;21;6;2022;111.3
ITEM002;22;6;2022;115.4
ITEM002;23;6;2022;122.9
ITEM002;24;6;2022;101.6
ITEM002;25;7;2022;111.8
ITEM002;26;7;2022;98.3
ITEM002;27;7;2022;95.3
ITEM002;28;7;2022;105.9
ITEM002;29;8;2022;104.7
ITEM002;30;8;2022;106.0
ITEM002;31;8;2022;92.9
ITEM002;32;8;2022;92.8
ITEM002;33;9;2022;83.7
ITEM002;34;9;2022;78.1
ITEM002;35;9;2022;78.4
ITEM002;36;9;2022;95.2
ITEM002;37;10;2022;87.7
ITEM002;38;10;2022;73.6
ITEM002;39;10;2022;59.5
ITEM002;40;10;2022;74.4
ITEM002;41;11;2022;0.0
ITEM002;42;11;2022;66.6
ITEM002;43;11;2022;58.1
ITEM002;44;11;2022;59.4
ITEM002;45;12;2022;46.2
ITEM002;46;12;2022;73.4
ITEM002;47;12;2022;102.6
ITEM002;48;12;2022;102.0
ITEM002;49;12;2022;103.6
ITEM002;50;12;2022;86.1
ITEM002;51;12;2022;111.6
ITEM002;52;12;2022;56.9
ITEM002;1;1;2023;53.6
ITEM002;2;1;2023;65.1
ITEM002;3;1;2023;53.6
ITEM002;4;1;2023;50.9
ITEM002;5;2;2023;84.0
ITEM002;6;2;2023;67.6
ITEM002;7;2;2023;64.0
ITEM002;8;2;2023;77.3
ITEM002;9;3;2023;85.2
ITEM002;10;3;2023;92.1
ITEM002;11;3;2023;104.4
ITEM002;12;3;2023;91.2
ITEM002;13;4;2023;93.0
ITEM002;14;4;2023;99.8
ITEM002;15;4;2023;100.7
ITEM002;16;4;2023;116.9
ITEM002;17;5;2023;0.0
ITEM002;18;5;2023;117.3
ITEM002;19;5;2023;140.6
ITEM002;20;5;2023;117.4
ITEM002;21;6;2023;120.7
ITEM002;22;6;2023;126.2
ITEM002;23;6;2023;110.8
ITEM002;24;6;2023;120.6
ITEM002;25;7;2023;127.6
ITEM002;26;7;2023;121.1
ITEM002;27;7;2023;109.1
ITEM002;28;7;2023;108.8
ITEM002;29;8;2023;100.0
ITEM002;30;8;2023;118.8
ITEM002;31;8;2023;98.2
ITEM002;32;8;2023;114.4
ITEM002;33;9;2023;92.7
ITEM002;34;9;2023;108.3
ITEM002;35;9;2023;97.8
ITEM002;36;9;2023;90.1
ITEM002;37;10;2023;102.2
ITEM002;38;10;2023;97.3
ITEM002;39;10;2023;84.4
ITEM002;40;10;2023;65.1
ITEM002;41;11;2023;80.5
ITEM002;42;11;2023;62.7
ITEM002;43;11;2023;74.2
ITEM002;44;11;2023;49.0
ITEM002;45;12;2023;60.6
ITEM002;46;12;2023;61.6
ITEM002;47;12;2023;104.7
ITEM002;48;12;2023;115.4
ITEM003;52;12;2023;46.1
ITEM003;1;1;2024;56.6
ITEM003;2;1;2024;45.0
ITEM003;3;1;2024;65.2
ITEM003;4;1;2024;84.2
ITEM003;5;2;2024;74.1
ITEM003;6;2;2024;75.2
ITEM003;7;2;2024;79.7
ITEM003;8;2;2024;78.6
ITEM003;9;3;2024;75.0
ITEM003;10;3;2024;77.7
ITEM003;11;3;2024;99.3
ITEM003;12;3;2024;100.2
ITEM003;13;4;2024;112.7
ITEM003;14;4;2024;126.0
ITEM003;15;4;2024;107.4
ITEM003;16;4;2024;110.7
ITEM003;17;5;2024;132.8
ITEM003;18;5;2024;121.9
ITEM003;19;5;2024;115.4
ITEM003;20;5;2024;138.9
ITEM003;21;6;2024;139.4
ITEM003;22;6;2024;129.6
ITEM003;23;6;2024;121.3
ITEM003;24;6;2024;109.7
ITEM003;25;7;2024;146.0
ITEM003;26;7;2024;114.4
ITEM003;27;7;2024;137.5
ITEM003;28;7;2024;127.5
ITEM003;29;8;2024;129.2
ITEM003;30;8;2024;118.3
ITEM003;31;8;2024;113.8
ITEM003;32;8;2024;106.4
ITEM003;33;9;2024;126.4
ITEM003;34;9;2024;97.9
ITEM003;35;9;2024;99.8
ITEM003;36;9;2024;85.3
ITEM003;37;10;2024;108.7
ITEM003;38;10;2024;74.9
ITEM003;39;10;2024;76.0
ITEM003;40;10;2024;73.0
ITEM003;41;11;2024;59.5
ITEM003;42;11;2024;70.6
ITEM003;43;11;2024;75.0
ITEM003;44;11;2024;53.4
ITEM003;45;12;2024;65.3
ITEM003;46;12;2024;64.9
ITEM003;47;12;2024;120.1
ITEM003;48;12;2024;131.1
ITEM003;49;12;2024;115.6
ITEM003;50;12;2024;123.3
ITEM003;51;12;2024;140.0
ITEM003;52;12;2024;78.4
ITEM003;1;1;2025;70.6
ITEM003;2;1;2025;59.8
ITEM003;3;1;2025;63.9
ITEM003;4;1;2025;77.3
ITEM003;5;2;2025;75.3
ITEM003;6;2;2025;47.4
ITEM003;7;2;2025;84.0
ITEM003;8;2;2025;85.8
ITEM003;9;3;2025;121.8
ITEM003;10;3;2025;112.8
ITEM003;11;3;2025;111.6
ITEM003;12;3;2025;111.8
ITEM003;13;4;2025;118.4
ITEM003;14;4;2025;123.1
ITEM003;15;4;2025;120.3
ITEM003;16;4;2025;126.1
ITEM003;17;5;2025;137.7
ITEM003;18;5;2025;133.5
ITEM003;19;5;2025;152.3
ITEM003;20;5;2025;125.0
ITEM003;21;6;2025;153.9
ITEM003;22;6;2025;147.7
ITEM003;23;6;2025;122.7
ITEM003;24;6;2025;159.3
ITEM003;25;7;2025;134.3
ITEM003;26;7;2025;151.1
ITEM003;27;7;2025;137.0
ITEM003;28;7;2025;123.3
ITEM003;29;8;2025;139.2
ITEM003;30;8;2025;128.5
ITEM003;31;8;2025;126.5
ITEM003;32;8;2025;131.1
ITEM003;33;9;2025;116.1
ITEM003;34;9;2025;108.3
ITEM003;35;9;2025;107.2
ITEM003;36;9;2025;93.0
ITEM003;37;10;2025;0.0
ITEM003;38;10;2025;97.8
ITEM003;39;10;2025;91.9
ITEM003;40;10;2025;95.0
ITEM003;41;11;2025;75.5
ITEM003;42;11;2025;83.7
ITEM003;43;11;2025;68.5
ITEM003;44;11;2025;61.9
ITEM003;45;12;2025;54.6
ITEM003;46;12;2025;72.0
ITEM003;47;12;2025;115.2
ITEM003;48;12;2025;111.8
ITEM003;49;12;2025;129.3
ITEM003;50;12;2025;141.1
ITEM003;51;12;2025;115.6
ITEM003;52;12;2025;74.3
ITEM003;1;1;2026;88.9
ITEM003;2;1;2026;59.8
ITEM003;3;1;2026;66.8
ITEM003;4;1;2026;81.7
ITEM003;5;2;2026;69.3
ITEM003;6;2;2026;87.9
ITEM003;7;2;2026;71.8
ITEM003;8;2;2026;0.0
ITEM003;9;3;2026;105.7
ITEM003;10;3;2026;127.1
ITEM003;11;3;2026;113.4
ITEM003;12;3;2026;101.6
ITEM003;13;4;2026;150.0
ITEM003;14;4;2026;134.8
ITEM003;15;4;2026;124.5
ITEM003;16;4;2026;134.5
ITEM003;17;5;2026;141.6
ITEM004;13;4;2023;42.7
ITEM004;14;4;2023;62.8
ITEM004;15;4;2023;49.1
ITEM004;16;4;2023;60.9
ITEM004;17;5;2023;60.9
ITEM004;18;5;2023;56.8
ITEM004;19;5;2023;60.9
ITEM004;20;5;2023;74.4
ITEM004;21;6;2023;63.1
ITEM004;22;6;2023;59.2
ITEM004;23;6;2023;70.1
ITEM004;24;6;2023;71.0
ITEM004;25;7;2023;63.1
ITEM004;26;7;2023;61.8
ITEM004;27;7;2023;69.9
ITEM004;28;7;2023;53.6
